2877,7934,773,1410,5600,7181,4406,567,8571,2237,6918,8935,2675,8116,3641,4865,1651,2470,6223,3604,4956,9063,8058,8203,2701,7464,8421,4288,4430,4970,2169,4246,6113,5729,1281,3992,1310,6047,5248,1613
1418,8836,2805,2348,2252,921,4850,8759,7808,8988,9566,2816,2617,1236,1075,3402,8464,5203,9282,237,899,4833,5218,4506,7544,3092,6224,1291,4679,6843,704,4440,82,2661,632,201,6594,9374,5655,7508
5304,5602,2427,5562,1723,3936,302,2641,918,2205,2680,347,1205,8955,2581,7264,662,4160,8492,256,2440,1482,8533,4917,689,6688,5591,4313,2830,5938,6303,8065,8339,4015,2841,9881,1940,3273,6199,4963
2060,1721,8263,894,3407,207,8725,5055,1130,4898,7677,3689,8061,6445,3231,3400,4376,1776,4790,9154,1951,2975,6021,5985,5723,3779,5318,3245,6879,4575,1108,9436,5034,2526,8998,9239,3310,94,4443,6259
2445,2897,4131,550,9978,4039,4483,7735,8815,8266,4430,9544,7546,3314,7250,201,7497,3498,9482,2221,7865,4759,2219,4388,3561,4304,9618,8358,6472,8323,3986,7854,5236,4165,391,7944,9163,9953,1391,8189
914,9820,1670,9443,4284,370,2099,648,5331,7837,2280,3133,6073,8373,4315,3542,4300,3498,7,4582,3747,9171,5230,5349,6687,7529,8096,9298,2087,3203,2487,7830,6467,470,3113,6032,9525,76,3420,5498
5861,8564,4309,4212,9382,9297,7599,2795,2479,6813,1132,9413,6725,935,6093,8168,7145,157,5547,3686,4189,6264,4514,3383,5092,6537,9297,9904,7883,9138,8071,7884,9586,2840,7497,4367,3080,4212,7426,9298
2667,8865,5151,2108,6193,4136,5771,8916,3885,8608,7487,6554,286,3769,2307,1320,9277,9617,499,3026,6239,2907,7103,808,685,4803,5902,6286,8837,9479,9258,2451,719,591,1811,5641,9928,472,8447,887
5082,2392,1609,5209,6883,3011,9699,3378,9493,3749,1801,8668,3335,6564,8449,5486,9178,1496,7181,6553,5004,4801,1917,5346,4659,2525,6670,5411,5455,586,924,8012,1937,4968,5836,2734,6344,3428,5080,3571
107,9456,7437,7037,4131,4173,6218,4920,3688,6681,9542,1728,9944,7242,7429,8115,2468,5622,3527,4099,9342,42,9275,8491,2135,5947,8649,3070,8952,544,8044,240,7525,8103,5777,8615,7859,7962,6018,6493
4817,6469,2442,6869,1091,9821,2839,9614,228,4000,1339,1591,3142,4543,1213,8417,87,4508,7069,9775,3059,7790,5050,3202,922,3962,6871,5786,1295,7229,9762,7310,2120,2140,6816,3016,6883,347,7897,3629
5385,4010,9049,8470,9441,2238,3934,3227,5316,2382,593,4129,705,1998,7089,7266,9566,6710,386,1903,1982,5376,4782,1642,4048,8537,3640,3232,9847,4437,9754,7199,9465,1460,3198,2612,3296,3192,5832,9628
5857,7900,8739,6381,3861,7558,6977,2867,7568,8041,8541,2493,1090,4764,4120,3611,5248,4391,1205,1252,9586,878,8686,978,7868,215,6031,2847,7212,3568,7852,8744,4008,9221,1030,5497,471,8060,6692,7112
