2070,8994,1344,5485,7849,4570,6334,8811,3684,6820,1591,892,9404,6900,316,6928,4232,9806,1520,1714,565,6682,3718,7888,7430,9347,3759,5267,7254,5223,1198,7946,6728,7174,7748,9253,2748,3468,671,1051
4798,3382,189,7918,9944,3460,1837,4662,7710,2875,1013,6454,2315,7519,1911,9165,7210,2951,8165,7710,2777,7990,8794,561,7376,3460,4103,3303,6305,893,4068,3590,8790,3975,6302,3229,6923,2424,2207,6417
396,1576,4976,8476,8594,5184,1191,826,6623,6121,4359,9832,7400,2278,3189,7123,2652,9946,4009,5900,1112,462,3100,3346,1545,6189,3136,8426,1063,5545,4757,8116,1919,5429,1678,1375,7622,185,3771,9790
7766,2662,1681,1602,1701,2039,6521,5507,4076,5120,5163,6002,7022,1039,1187,795,8348,2427,8350,8808,1380,4832,7941,7834,5996,793,5,2972,8642,1136,8347,8344,4316,3552,9226,1945,2885,761,3220,1481
2300,313,6491,8580,3942,9430,6773,9849,3224,6732,3122,5048,6582,1877,8287,1125,1551,3247,8051,207,4490,1869,4333,1131,9479,6871,529,7999,5534,4725,941,9009,8705,893,5968,9565,2743,3238,4288,5069
8438,8657,5739,1151,5108,9163,9778,8084,5172,7255,764,3196,7172,5269,1122,641,346,4062,1306,6701,5921,8368,1884,7643,9621,2162,7877,7279,7399,2169,7395,5428,4918,9567,4428,5235,2862,2834,143,9476
4911,2844,7549,1723,3860,7423,4881,8629,3857,5977,6505,7255,9024,5187,5684,7954,2950,5020,660,1096,2883,4463,8820,956,6480,9635,4615,5415,5154,900,8171,6895,1679,6597,2588,7144,5341,3883,7025,2568
5067,5051,7678,2026,2380,6187,3354,4732,7778,7568,2553,3209,5657,845,623,5804,6777,4921,856,204,3086,7963,2883,1570,883,1887,6349,1437,2807,2245,5053,7274,7290,8169,3317,8825,7890,1156,2820,45
6320,5573,8654,9680,6231,2205,13,4955,7306,2961,1076,9811,7161,6765,9653,6911,9153,8416,1964,5747,2496,1189,3064,9365,732,4319,9687,1777,5269,8287,9437,4073,9643,5260,7142,7794,8476,6493,8203,8971
2823,154,6109,3505,1202,4096,8361,3529,2536,2672,4383,4668,3478,3285,9008,1613,5579,5369,9453,1493,1242,1277,3390,9130,8856,6596,9779,2736,1808,4536,383,5317,1794,3743,6189,2120,9881,6559,5262,6507
8563,1238,8534,76,3782,5993,3082,1249,3275,9899,7595,2160,3279,4574,5052,796,2464,9753,1523,4890,2541,6073,4281,8037,2921,5616,2287,2271,8572,6113,9242,359,520,8691,1859,8387,650,8386,3495,2462
